iter	Passed	Remaining
0	5	524
1	10	508
2	15	509
3	21	504
4	26	504
5	31	496
6	37	491
7	42	487
8	47	483
9	52	468
10	58	471
11	63	467
12	69	462
13	74	460
14	80	456
15	85	451
16	89	438
17	95	434
18	100	430
19	105	423
20	110	416
21	115	409
22	120	403
23	126	399
24	131	394
25	137	392
26	143	387
27	148	381
28	153	375
29	157	368
30	163	363
31	168	358
32	173	353
33	179	348
34	184	343
35	190	338
36	195	332
37	200	327
38	206	322
39	211	317
40	217	312
41	222	307
42	228	303
43	234	297
44	239	292
45	244	287
46	250	282
47	255	277
48	260	271
49	265	265
50	271	260
51	276	255
52	282	250
53	287	245
54	293	239
55	298	234
56	304	229
57	309	224
58	314	218
59	320	213
60	325	208
61	331	203
62	336	197
63	342	192
64	347	187
65	353	181
66	358	176
67	364	171
68	369	165
69	374	160
70	379	154
71	387	150
72	393	145
73	399	140
74	404	134
75	410	129
76	415	124
77	420	118
78	425	113
79	430	107
80	435	102
81	440	96
82	445	91
83	450	85
84	454	80
85	459	74
86	464	69
87	470	64
88	475	58
89	480	53
90	486	48
91	491	42
92	497	37
93	502	32
94	507	26
95	512	21
96	518	16
97	524	10
98	529	5
99	535	0
